[번호],메뉴이름],[설명],[가격]
마라레드윙박스|교촌의 레드소스에 마라를 더한얼얼매콤 윙 메뉴16pcs/날개(윙+봉)]|22,000
마라레드싱글윙|교촌의 레드소스에 마라를 더한얼얼매콤 윙 메뉴[6pcs/날개(윙+봉)]|7,900
간장윙박스|간장소스의 풍부한 맛을 즐길 수 있는 겉바속촉 윙 메뉴 [16pcs / 날개(윙+봉)]|22,000
레드윙박스|국내산 청양 홍고추의 매콤함을 즐길 수 있는 겉바속촉 윙 메뉴[16pcs / 날개(윙+봉)]|22,000
허니윙박스|달콤한 허니 소스가 일품인 겉바속촉 윙 메뉴[16pcs / 날개 (윙+봉)]|22,000
후라이드윙박스|교촌의 비법이 담긴 특제 튀김옷으로 바삭함을 살린 윙메뉴[16pcs / 날개 (윙+봉), 겉보리소금 제공]|22,000
양념치킨윙박스|갓 튀겨 바삭한 후라이드에 새콤달콤한 양념소스의 감칠맛을 더한 윙 메뉴[16pcs / 날개(윙+봉)]|23,000
간장싱글윙|마늘, 간장 소스의 풍부한 맛을 즐길 수 있는겉바속촉 윙 메뉴[6pcs / 날개 (윙+봉)]|7,900
레드싱글윙|국내산 청양 홍고추의 매콤함을 즐길 수 있는겉바속촉 윙 메뉴[6pcs / 날개 (윙+봉)]|7,900
허니싱글윙|달콤한 허니 소스가 일품인 겉바속촉 윙 메뉴[6pcs / 날개 (윙+봉)]|7,900
후라이드싱글윙|교촌의 비법이 담긴 특제 튀김옷으로 바삭함을 살린 윙 메뉴[6pcs / 날개 (윙+봉)]|7,900
양념치킨싱글윙|갓 튀겨 바삭한 후라이드에 새콤달콤한양념소스의 감칠맛을 더한 윙 메뉴[6pcs / 날개(윙+봉)]|8,500
허니 한마리|달콤 바삭한 맛이 일품인 한 마리 치킨|19,000
허니콤보|달콤한 허니소스에 쫄깃한 날개와담백한 다리가 만난 메뉴|23,000
허니순살|부드럽고 담백한 순살과 달콤한 허니소스가 조화로운 치킨[정육+통안심, 레드디핑소스 제공]|23,000
후라이드 한마리|교촌의 비법이 담긴 특제 튀김옷으로 바삭함을 살려남녀노소 좋아하는 후라이드 치킨[겉보리소금 제공]* 교촌양념디핑소스 별도판매 1,000원|21,000
양념치킨 한마리|갓 튀겨 바삭한 후라이드에 새콤달콤한양념소스의 감칠맛을 더한 메뉴|22,000
후라이드양념반반 한마리|바삭한 후라이드와 새콤달콤한 양념치킨을동시에 즐길 수 있는 메뉴[겉보리소금 제공]|22,000
후라이드순살|교촌의 비법 레시피로 바삭한 특제 튀김옷과부드러운 순살이 매력적인 치킨[정육+통안심, 겉보리소금 제공]|22,000
양념치킨순살|부드럽고 바삭한 순살에 새콤달콤한양념소스의 감칠맛을 더한 치킨[정육+통안심]|23,000
후라이드양념반반순살|바삭한 후라이드와 새콤달콤한 양념치킨을동시에 즐길 수 있는 순살치킨[정육+통안심, 겉보리소금 제공]|23,000
리얼후라이드 한마리|오트밀, 퀴노아, 아마란스 등 슈퍼푸드로 바삭함을 살린 후라이드[하바네로마요, 겉보리소금 제공]|20,000
살살후라이드|가슴살과 다리살이 쌀가루와 만나고소하고 바삭한 맛이 일품인 치킨[허니머스타드, 레드디핑, 잠발라야소스 제공]|20,000
파채소이살살|새콤달콤한 소이소스와 담백한 살살치킨에신선한 채소를 곁들인 메뉴[소이소스 제공]|19,000
허니옥수수순살|리얼옥수수의 진한 풍미와 달콤함이 특징인바삭하고 부드러운 순살메뉴[정육+통안심]|23,000
허니옥수수 한마리|리얼옥수수의 진한 풍미와 달콤함이 특징인한마리 치킨|20,000
간장 한마리|교촌만의 차별화된 마늘과 간장 소스의 풍부한 맛이 어우러진 한 마리 치킨|19,000
간장콤보|마늘과 간장소스의 풍부한 맛에 날개와 다리를 함께 즐길 수 있는 메뉴|22,000
간장순살|부드러운 순살에 감칠 맛나는 마늘 간장 소스가 어우러진 치킨[정육]|22,000
간장스틱|마늘과 간장 소스의 풍부한 맛과 다리부위의담백한 맛이 어우러진 치킨|22,000
레드 한마리|국내산 청양 홍고추의 매콤함이 일품인한 마리 치킨|20,000
레드콤보|국내산 청양 홍고추의 매콤한 맛에날개와 다리를 함께 즐길 수 있는 메뉴|23,000
레드순살|부드러운 순살에 청양 홍고추의 매콤함이 맛있게 어우러진 치킨[정육]|23,000
레드스틱|국내산 청양 홍고추의 매콤함에담백한 다리의 맛이 어우러진 치킨|23,000
반반 한마리|마늘 간장 맛과 매콤한 맛이 어우러진한 마리 치킨|20,000
반반콤보|마늘 간장 맛과 매콤한 맛이 밴 날개와 다리부위로 구성된 반반메뉴|23,000
반반순살|부드러운 순살에 감칠 맛나는  마늘 간장 소스와 청양 홍고추의 매콤함을 동시에 느낄 수 있는 메뉴[정육]|23,000
반반스틱|마늘 간장 맛과 매콤함 맛에 담백한 다리의 맛이 어우러진 치킨|23,000
레허반반순살|레드로 매콤하게, 허니로 달콤하게, 맵단맵단으로 즐길 수 있는 100% 국내산 정육, 통안심 순살 메뉴(정육, 통안심)|23,000
간장콤보[S]|(반마리) 마늘과 간장 소스의 풍부한 맛에 날개와 다리를 함께 즐길 수 있는 메뉴|12,000
간장순살[S]|(반마리) 부드러운 순살에 감칠 맛나는 마늘 간장 소스가 어우러진 치킨[정육/반마리]|12,000
간장스틱[S]|(반마리) 마늘과 간장 소스의 풍부한 맛과다리부위의 담백한 맛이 어우러진 치킨|12,000
레드콤보[S]|(반마리) 국내산 청양 홍고추의 매콤한 맛에날개와 다리를 함께 즐길 수 있는 메뉴|13,000
레드순살[S]|(반마리) 부드러운 순살에 청양 홍고추의 매콤함이 맛있게 어우러진 치킨|13,000
레드스틱[S]|(반마리) 국내산 청양 홍고추의 매콤함에담백한 다리의 맛이 어우러진 치킨|13,000
허니순살[S]|(반마리) 부드럽고 담백한 순살과 달콤한 허니소스가 조화로운 치킨[정육+통안심, 레드디핑소스 제공]|13,000
